Date/Time,活动能量 (kJ),Source
2026-07-05 20:27:07,31.02,范康松的Apple Watch
2026-07-05 20:28:07,31.84,范康松的Apple Watch
2026-07-05 20:29:07,28.38,范康松的Apple Watch
2026-07-05 20:30:07,28.26,范康松的Apple Watch
2026-07-05 20:31:07,28.5,范康松的Apple Watch
2026-07-05 20:32:07,30.15,范康松的Apple Watch
2026-07-05 20:33:07,30.7,范康松的Apple Watch
2026-07-05 20:34:07,31.99,范康松的Apple Watch
2026-07-05 20:35:07,32.36,范康松的Apple Watch
2026-07-05 20:36:07,30.79,范康松的Apple Watch
2026-07-05 20:37:07,32.79,范康松的Apple Watch
2026-07-05 20:38:07,30.47,范康松的Apple Watch
2026-07-05 20:39:07,29.74,范康松的Apple Watch
2026-07-05 20:40:07,29.85,范康松的Apple Watch
2026-07-05 20:41:07,31.2,范康松的Apple Watch
2026-07-05 20:42:07,31.07,范康松的Apple Watch
2026-07-05 20:43:07,29.7,范康松的Apple Watch
2026-07-05 20:44:07,31.67,范康松的Apple Watch
2026-07-05 20:45:07,31.54,范康松的Apple Watch
2026-07-05 20:46:07,29.75,范康松的Apple Watch
2026-07-05 20:47:07,30.43,范康松的Apple Watch
2026-07-05 20:48:07,31.07,范康松的Apple Watch
2026-07-05 20:49:07,30.72,范康松的Apple Watch
2026-07-05 20:50:07,32.08,范康松的Apple Watch
2026-07-05 20:51:07,31.03,范康松的Apple Watch
2026-07-05 20:52:07,31.06,范康松的Apple Watch
2026-07-05 20:53:07,31.31,范康松的Apple Watch
2026-07-05 20:54:07,32.03,范康松的Apple Watch
2026-07-05 20:55:07,31.22,范康松的Apple Watch
2026-07-05 20:56:07,29.71,范康松的Apple Watch
2026-07-05 20:57:07,31.02,范康松的Apple Watch
2026-07-05 20:58:07,31.5,范康松的Apple Watch
2026-07-05 20:59:07,32.22,范康松的Apple Watch
2026-07-05 21:00:07,30.78,范康松的Apple Watch
2026-07-05 21:01:07,31.19,范康松的Apple Watch
2026-07-05 21:02:07,30.61,范康松的Apple Watch
2026-07-05 21:03:07,30.27,范康松的Apple Watch
2026-07-05 21:04:07,29.7,范康松的Apple Watch
2026-07-05 21:05:07,29.1,范康松的Apple Watch
2026-07-05 21:06:07,30.65,范康松的Apple Watch
2026-07-05 21:07:07,31.45,范康松的Apple Watch
2026-07-05 21:08:07,32.21,范康松的Apple Watch
2026-07-05 21:09:07,32.28,范康松的Apple Watch
2026-07-05 21:10:07,20.89,范康松的Apple Watch
